drug_1,drug_2,cosine_similarity
VEDOLIZUMAB,PEMBROLIZUMAB,0.95508015
VEDOLIZUMAB,NEMOLIZUMAB-ILTO,0.9493337
RISANKIZUMAB-RZAA,NEMOLIZUMAB-ILTO,0.9423884
PEMBROLIZUMAB,NEMOLIZUMAB-ILTO,0.93799067
RISANKIZUMAB-RZAA,VEDOLIZUMAB,0.9252141
INFLIXIMAB,RITUXIMAB,0.91685796
TIRZEPATIDE,PIMAVANSERIN TARTRATE,0.9160917
TIRZEPATIDE,ABALOPARATIDE,0.9157347
RISANKIZUMAB-RZAA,PEMBROLIZUMAB,0.91450405
CABOZANTINIB S-MALATE,PIMAVANSERIN TARTRATE,0.9120431
CABOZANTINIB S-MALATE,NEMOLIZUMAB-ILTO,0.91149473
RISANKIZUMAB-RZAA,CABOZANTINIB S-MALATE,0.9113635
UPADACITINIB,CABOZANTINIB S-MALATE,0.9053134
TIRZEPATIDE,CABOZANTINIB S-MALATE,0.9051299
TIRZEPATIDE,TREPROSTINIL,0.9002855
TIRZEPATIDE,UPADACITINIB,0.89731294
DUPILUMAB,CABOZANTINIB S-MALATE,0.8968616
PIMAVANSERIN TARTRATE,TREPROSTINIL,0.8932201
ABALOPARATIDE,PIMAVANSERIN TARTRATE,0.89316887
SEMAGLUTIDE,PIMAVANSERIN TARTRATE,0.8930421
VEDOLIZUMAB,CABOZANTINIB S-MALATE,0.89184177
RISANKIZUMAB-RZAA,GUSELKUMAB,0.89178693
TIRZEPATIDE,CENOBAMATE,0.89157325
INSULIN GLARGINE,PIMAVANSERIN TARTRATE,0.89100736
GUSELKUMAB,NEMOLIZUMAB-ILTO,0.8909111
DUPILUMAB,INFLIXIMAB,0.8899789
CABOZANTINIB S-MALATE,PEMBROLIZUMAB,0.8897317
TIRZEPATIDE,ADAPALENE,0.8892573
VEDOLIZUMAB,GUSELKUMAB,0.8888616
DUPILUMAB,TIRZEPATIDE,0.88881195
DUPILUMAB,UPADACITINIB,0.8883314
VEDOLIZUMAB,INFLIXIMAB,0.887325
UPADACITINIB,PIMAVANSERIN TARTRATE,0.8852486
UPADACITINIB,TREPROSTINIL,0.88335717
ABALOPARATIDE,ADAPALENE,0.88322645
RISANKIZUMAB-RZAA,UPADACITINIB,0.8831136
ABALOPARATIDE,CENOBAMATE,0.8820578
CABOZANTINIB S-MALATE,GUSELKUMAB,0.8819286
SOMATROPIN,PIMAVANSERIN TARTRATE,0.8811282
PEMBROLIZUMAB,GUSELKUMAB,0.8810772
ABALOPARATIDE,CABOZANTINIB S-MALATE,0.8810476
TIRZEPATIDE,LENALIDOMIDE,0.8797639
INFLIXIMAB,NEMOLIZUMAB-ILTO,0.87880886
CABOZANTINIB S-MALATE,INFLIXIMAB,0.8773186
DUPILUMAB,NEMOLIZUMAB-ILTO,0.87693524
DUPILUMAB,RISANKIZUMAB-RZAA,0.87617826
PEMBROLIZUMAB,INFLIXIMAB,0.87600213
