gen,best,mean,div_geno,selpres,sigma,event,immigrants
1,0.054007923918161074,0.04936285182036895,0.12453489511049193,1.7,0.125,damp,0
2,0.05637486027602914,0.05011671701179517,0.12576780563532788,1.7,0.12476953907815631,damp,0
3,0.05637486027602914,0.050576953252947685,0.12613170882036687,1.7,0.12453907815631263,damp,0
4,0.05637486027602914,0.05112615767520494,0.12749108393709987,1.7,0.12430861723446894,damp,0
5,0.0565703249704875,0.05164269573270204,0.12797109283272243,1.7,0.12407815631262525,damp,0
6,0.05884857605187191,0.052380385002069804,0.1270770133999344,1.7,0.12384769539078157,damp,0
7,0.05936775817332255,0.053566584035371054,0.1290206394532392,1.7,0.12361723446893788,damp,0
8,0.061722884224856917,0.05389802060714653,0.12965215191024845,1.7,0.1233867735470942,damp,0
9,0.061722884224856917,0.05497619954404581,0.1299789407961301,1.7,0.12315631262525051,damp,0
10,0.06756531490083278,0.05601641813051994,0.13041473670651504,1.7,0.12292585170340681,damp,0
11,0.06756531490083278,0.05612535097592105,0.13007052165053784,1.7,0.12269539078156312,damp,0
12,0.06820974474968762,0.0575427519791686,0.1286220544005935,1.7,0.12246492985971943,damp,0
13,0.0708114505272818,0.05793345435082485,0.13057408917948177,1.7,0.12223446893787575,damp,0
14,0.0708114505272818,0.058439150316929,0.1315708957920176,1.7,0.12200400801603206,damp,0
15,0.0708114505272818,0.059385625479231895,0.13246475289534512,1.7,0.12177354709418838,damp,0
16,0.0708114505272818,0.0601301271131538,0.13317371324340654,1.7,0.12154308617234469,damp,0
17,0.07216430469896659,0.060482830002684305,0.1327127551196486,1.7,0.121312625250501,damp,0
18,0.07216430469896659,0.061695468333371764,0.13106229367740363,1.7,0.12108216432865732,damp,0
19,0.07224027969610246,0.06264286683218992,0.1290749793112081,1.7,0.12085170340681363,damp,0
20,0.07224027969610246,0.06348318792428112,0.12859528967208525,1.7,0.12062124248496994,damp,0
21,0.07407337510757021,0.06506848990254337,0.126830420216034,1.7,0.12039078156312626,damp,0
22,0.07408794244339352,0.06546022645027666,0.12501545696115932,1.7,0.12016032064128257,damp,0
23,0.07408794244339352,0.065900058487886,0.12533986187378243,1.7,0.11992985971943888,damp,0
24,0.07449526362924537,0.0664956301629805,0.1269321470958267,1.7,0.1196993987975952,damp,0
25,0.07449526362924537,0.06700780238808791,0.1274103540944758,1.7,0.1194689378757515,damp,0
26,0.07450300910057571,0.06723748772492168,0.128058704189531,1.7,0.11923847695390781,damp,0
27,0.07450300910057571,0.06818506018021793,0.12883487909489327,1.7,0.11900801603206412,damp,0
28,0.07460892780317742,0.06867997753753116,0.12955243995388943,1.7,0.11877755511022044,damp,0
29,0.07736675417861867,0.06957445925390209,0.13018711238401673,1.7,0.11854709418837675,damp,0
30,0.07736675417861867,0.0702491523217067,0.13070106635823353,1.7,0.11831663326653306,damp,0
31,0.07823842802038912,0.07119951567785147,0.13023528676565765,1.7,0.11808617234468938,damp,0
32,0.07858844231408862,0.07142623508457586,0.13053445400726005,1.7,0.11785571142284569,damp,0
33,0.07858844231408862,0.07170442059030249,0.13169191168414368,1.7,0.117625250501002,damp,0
34,0.08068181567495715,0.07218921707836697,0.12977945336170513,1.7,0.11739478957915832,damp,0
35,0.08068181567495715,0.07335505428258274,0.129173660442051,1.7,0.11716432865731463,damp,0
36,0.08068181567495715,0.07384391418564111,0.12760347895145174,1.7,0.11693386773547094,damp,0
37,0.08246514688377453,0.07439226351542469,0.12674854100162428,1.7,0.11670340681362726,damp,0
38,0.0824733212526745,0.07444322856745782,0.12669890061680122,1.7,0.11647294589178357,damp,0
39,0.0824733212526745,0.07478015219582076,0.12769554937754052,1.7,0.11624248496993989,damp,0
40,0.0824733212526745,0.07467969286018375,0.12854450936529724,1.7,0.11601202404809619,damp,0
41,0.0824733212526745,0.07518802991958491,0.12931567808901248,1.7,0.11578156312625251,damp,0
42,0.0824733212526745,0.07601879964127042,0.12868719367006626,1.7,0.11555110220440881,damp,0
43,0.0824733212526745,0.07621813712290279,0.12899676683609007,1.7,0.11532064128256513,damp,0
44,0.08472178037044215,0.07681880507418845,0.129014997898941,1.7,0.11509018036072144,damp,0
45,0.08472178037044215,0.07754562973119392,0.12910507016454245,1.7,0.11485971943887775,damp,0
46,0.08538854960248753,0.0782668885878243,0.12958567848712302,1.7,0.11462925851703407,damp,0
47,0.08538854960248753,0.07832037361420749,0.13022093514685748,1.7,0.11439879759519038,damp,0
48,0.08538854960248753,0.07881004607018584,0.13037774392935716,1.7,0.1141683366733467,damp,0
49,0.08662790996653448,0.07954683455242342,0.1297813962171741,1.7,0.113937875751503,damp,0
50,0.08662790996653448,0.08019988025565153,0.12949318101566934,1.7,0.11370741482965932,damp,0
51,0.09001001951760682,0.08036072558985402,0.12910812374876066,1.7,0.11347695390781563,damp,0
52,0.09032267747181624,0.08070812706359096,0.1269453946009876,1.7,0.11324649298597195,damp,0
53,0.09032267747181624,0.08171704283185008,0.1261716200850693,1.7,0.11301603206412826,damp,0
54,0.09032267747181624,0.08160358293469887,0.12643647194313004,1.7,0.11278557114228457,damp,0
55,0.09032267747181624,0.08220506603990178,0.12654312714920932,1.7,0.11255511022044087,damp,0
56,0.09032267747181624,0.0821235734178439,0.12632036013309866,1.7,0.1123246492985972,damp,0
57,0.09032267747181624,0.08266835811841312,0.12625922283633753,1.7,0.1120941883767535,damp,0
58,0.0911280705356895,0.08304721204692146,0.12635893816530713,1.7,0.11186372745490981,damp,0
59,0.09156723445473869,0.08449549662702849,0.12504511509473412,1.7,0.11163326653306613,damp,0
60,0.09156723445473869,0.0852062037316674,0.12283868180166968,1.7,0.11140280561122244,damp,0
61,0.09266106227345007,0.08618706342610687,0.12299461868971191,1.7,0.11117234468937875,damp,0
62,0.09311570477851319,0.08652209427616553,0.122133017375283,1.7,0.11094188376753507,damp,0
63,0.09311570477851319,0.08667053339268552,0.12132453442461111,1.7,0.11071142284569138,damp,0
64,0.09311570477851319,0.0866829500503576,0.12223528210053504,1.7,0.1104809619238477,damp,0
65,0.09311570477851319,0.08731745532777199,0.12184188756775573,1.7,0.11025050100200401,damp,0
66,0.09431220675938726,0.08772059250861841,0.12192546365710606,1.7,0.11002004008016032,damp,0
67,0.09489149226617255,0.08811431851263284,0.12230344388166113,1.7,0.10978957915831664,damp,0
68,0.09489149226617255,0.08870580501861308,0.12222397672838002,1.7,0.10955911823647295,damp,0
69,0.09942201381292033,0.08919061216713245,0.12305253138561174,1.7,0.10932865731462926,damp,0
70,0.10079226917301919,0.09006503462529777,0.12203108819500487,1.7,0.10909819639278556,damp,0
71,0.10079226917301919,0.08990545920459811,0.12359034795237711,1.7,0.10886773547094189,damp,0
72,0.10079226917301919,0.09032384885135022,0.12247458515745573,1.7,0.10863727454909819,damp,0
73,0.10079226917301919,0.09167428313170577,0.11879105129219188,1.7,0.1084068136272545,damp,0
74,0.10079226917301919,0.09191184907192186,0.11345101707411823,1.7,0.21635270541082163,-,0
75,0.10079226917301919,0.09228954481016596,0.11282607523821087,1.7,0.21589178356713426,-,0
76,0.10079226917301919,0.09223400606832606,0.11260843942637913,1.7,0.2154308617234469,-,0
77,0.10079226917301919,0.09181047714187011,0.11454295854028458,1.7,0.21496993987975951,-,0
78,0.10079226917301919,0.09136417393348428,0.11594287435324824,1.7,0.10725450901803607,damp,0
79,0.10079226917301919,0.09163752651291468,0.11201184491102809,1.7,0.21404809619238477,-,0
80,0.10079226917301919,0.0909709561205339,0.11826358219834056,1.7,0.1067935871743487,damp,0
81,0.10079226917301919,0.09271427129099848,0.11498083526855278,1.7,0.21312625250501002,-,0
82,0.10079226917301919,0.09169623672134154,0.11648860736946341,1.7,0.10633266533066132,damp,0
83,0.10079226917301919,0.09271136917558694,0.11252322351949456,1.7,0.21220440881763528,-,0
84,0.10079226917301919,0.09275456581907102,0.11579629716003331,1.7,0.10587174348697395,damp,0
85,0.10079226917301919,0.0931334240131065,0.10928229124328684,1.7,0.2112825651302605,-,0
86,0.10079226917301919,0.09274261165713919,0.11314130909776487,1.7,0.21082164328657316,-,0
87,0.10079226917301919,0.09208518969270436,0.11332144883992336,1.7,0.21036072144288576,-,0
88,0.10079226917301919,0.09192263512237202,0.11218649796935266,1.7,0.20989979959919838,-,0
89,0.10079226917301919,0.0914639549961491,0.11220522446540314,1.7,0.209438877755511,-,0
90,0.10079226917301919,0.09180852153458943,0.11107618924460709,1.7,0.20897795591182364,-,0
91,0.10079226917301919,0.09165540011793713,0.11131340443109795,1.7,0.20851703406813626,-,0
92,0.10079226917301919,0.09178224779917535,0.11211149845801341,1.7,0.2080561122244489,-,0
93,0.10079226917301919,0.09158330454514774,0.11463104812935986,1.7,0.20759519038076152,-,0
94,0.10079226917301919,0.09136499384580175,0.11502661684693105,1.7,0.10356713426853707,damp,0
