texto_original,entidad,etiqueta,inicio,fin
2-Hydroxyglutaric Aciduria,2,CARDINAL,0,1
5Q Minus Syndrome,5Q Minus Syndrome,ORG,0,17
Abdominal Discomfort,Abdominal Discomfort,PERSON,0,20
Abdominal Infection,Abdominal Infection,ORG,0,19
Abdominal Rigidity,Abdominal Rigidity,ORG,0,18
Abortion Induced,Abortion Induced,ORG,0,16
Abscess Limb,Abscess Limb,PERSON,0,12
Abscess Neck,Abscess Neck,PERSON,0,12
Acanthamoeba Infection,Acanthamoeba Infection,ORG,0,22
Acanthamoeba Keratitis,Acanthamoeba Keratitis,PERSON,0,22
Accelerated Hypertension,Accelerated Hypertension,ORG,0,24
Achromobacter Infection,Achromobacter Infection,ORG,0,23
Acinar Cell Carcinoma Of Pancreas,Acinar Cell Carcinoma Of Pancreas,PERSON,0,33
Acquired Blaschkoid Dermatitis,Blaschkoid Dermatitis,PERSON,9,30
Acquired C1 Inhibitor Deficiency,C1 Inhibitor,ORG,9,21
Acquired Haemophilia,Haemophilia,GPE,9,20
Acromegaly,Acromegaly,GPE,0,10
Acth-Producing Pituitary Tumour,Acth-Producing,ORG,0,14
Actinic Elastosis,Actinic Elastosis,ORG,0,17
Actinic Keratosis,Actinic Keratosis,PERSON,0,17
Acute Erythroid Leukaemia,Erythroid Leukaemia,PERSON,6,25
Acute Graft Versus Host Disease,Versus Host,PERSON,12,23
Acute Graft Versus Host Disease In Skin,Versus Host,PERSON,12,23
Acute Hepatic Failure,Acute Hepatic Failure,ORG,0,21
Acute Kidney Injury,Kidney Injury,PERSON,6,19
Acute Myeloid Leukaemia (In Remission),Myeloid Leukaemia,PERSON,6,23
Acute Myeloid Leukaemia Refractory,Leukaemia Refractory,PERSON,14,34
Acute Myelomonocytic Leukaemia,Acute Myelomonocytic,ORG,0,20
Acute Pulmonary Oedema,Pulmonary Oedema,PERSON,6,22
Acute Respiratory Distress Syndrome,Acute Respiratory Distress,ORG,0,26
Addison'S Disease,Addison'S,ORG,0,9
Adenocarcinoma Gastric,Adenocarcinoma Gastric,PERSON,0,22
Adrenal Gland Cancer,Adrenal Gland Cancer,ORG,0,20
Adrenal Gland Cancer Metastatic,Adrenal Gland Cancer Metastatic,ORG,0,31
Adrenocortical Carcinoma,Adrenocortical Carcinoma,ORG,0,24
Adrenocortical Insufficiency Acute,Adrenocortical Insufficiency Acute,ORG,0,34
Adrenogenital Syndrome,Adrenogenital Syndrome,ORG,0,22
African Trypanosomiasis,African,NORP,0,7
Age-Related Macular Degeneration,Age-Related Macular Degeneration,ORG,0,32
Ageusia,Ageusia,PERSON,0,7
Akathisia,Akathisia,GPE,0,9
Akinesia,Akinesia,GPE,0,8
Alagille Syndrome,Alagille Syndrome,ORG,0,17
Alanine Aminotransferase Increased,Alanine Aminotransferase Increased,PERSON,0,34
Albuminuria,Albuminuria,GPE,0,11
Alcoholic Pancreatitis,Alcoholic Pancreatitis,PERSON,0,22
Alkalinuria,Alkalinuria,GPE,0,11
Allergic Respiratory Symptom,Allergic Respiratory Symptom,PERSON,0,28
Allergic Sinusitis,Allergic,ORG,0,8
Allogenic Stem Cell Transplantation,Allogenic Stem Cell Transplantation,ORG,0,35
Alopecia Areata,Alopecia Areata,PERSON,0,15
Alopecia Totalis,Alopecia Totalis,PERSON,0,16
Alopecia Universalis,Alopecia Universalis,PERSON,0,20
Alpha Haemolytic Streptococcal Infection,Alpha Haemolytic Streptococcal Infection,ORG,0,40
Alpha-Mannosidosis,Alpha-Mannosidosis,ORG,0,18
Alport'S Syndrome,Alport,GPE,0,6
Alternaria Infection,Alternaria Infection,PERSON,0,20
Alveolar Rhabdomyosarcoma,Alveolar,ORG,0,8
Amino Acid Level Abnormal,Amino Acid Level Abnormal,ORG,0,25
Amnesia,Amnesia,GPE,0,7
Amoebic Dysentery,Amoebic Dysentery,ORG,0,17
Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis,ORG,0,29
Anaemia Of Malignant Disease,Anaemia Of Malignant Disease,ORG,0,28
Anaesthesia,Anaesthesia,GPE,0,11
Anaesthesia Eye,Anaesthesia Eye,ORG,0,15
Anaesthesia Procedure,Anaesthesia,GPE,0,11
Anaesthesia Reversal,Anaesthesia Reversal,PERSON,0,20
Anal Abscess,Anal Abscess,PERSON,0,12
Anal Incontinence,Anal Incontinence,PERSON,0,17
Anaplastic Thyroid Cancer,Thyroid Cancer,PERSON,11,25
Androgen Therapy,Androgen Therapy,PERSON,0,16
Androgenetic Alopecia,Androgenetic Alopecia,ORG,0,21
Angelman'S Syndrome,Angelman,ORG,0,8
Angina Pectoris,Angina Pectoris,PERSON,0,15
Angina Unstable,Angina Unstable,ORG,0,15
Angiocentric Lymphoma,Angiocentric Lymphoma,PERSON,0,21
Angiofibroma,Angiofibroma,GPE,0,12
Angiogram Cerebral,Angiogram Cerebral,ORG,0,18
Angioimmunoblastic T-Cell Lymphoma,Angioimmunoblastic,ORG,0,18
